TYPE_NAME=Lib_Qualifier;KEYS=title;;
title;description
"Биография";"Описание жизни человека, сделанное другими людьми или им самим.";
"Детектив";"Бульварная книженца";
"Исторический";"Художественные произведения разных родов, в основе которых лежат исторические события прошлого времени, а действующими лицами являются исторические личности.";
"Поэзия";"Особый способ организации речи; привнесение в речь дополнительной меры, не определённой потребностями обыденного языка; словесное художественное творчество, преимущественно стихотворное.";
"Роман";"Толстая книженца";
"Повесть";"Прозаический жанр, занимающий по объёму текста промежуточное место между романом и рассказом, тяготеющий к хроникальному сюжету, воспроизводящему естественное течение жизни.";
"Фантастика";"Жанр и творческий метод в художественной литературе, характеризуемый использованием фантастического допущения, «элемента необычайного».";
"Рассказ"; "Художественное повествовательное прозаическое произведение небольшого размера.";
"Сказка"; "Один из жанров фольклора, либо литературы. Эпическое, преимущественно прозаическое произведение волшебного, героического или бытового характера.";
"Поэма"; "Повествовательное произведение в стихах, обычно на историческую или легендарную тему.";

